Date;Time;T_ambient;Vbus;V ;mA;mW;T_panell
02/01/2023;0:00:02;6.08;4.95;-0.25;-25;0;16.08
02/01/2023;0:00:07;6.17;4.95;-0.25;-25;0;16.17
02/01/2023;0:00:12;5.92;4.95;-0.21;-21;0;15.92
02/01/2023;0:00:17;6;4.96;-0.21;-21;0;16
02/01/2023;0:00:22;5.6;4.95;-0.22;-22;0;15.6
02/01/2023;0:00:27;6.08;4.95;-0.22;-22;0;16.08
02/01/2023;0:00:32;5.76;4.95;-0.22;-22;0;15.76
02/01/2023;0:00:37;5.52;4.95;-0.21;-21;0;15.52
02/01/2023;0:00:42;5.44;4.95;-0.2;-20;0;15.44
02/01/2023;0:00:47;5.44;4.95;-0.2;-20;0;15.44
02/01/2023;0:00:52;5.44;4.95;-0.22;-22;0;15.44
02/01/2023;0:00:57;5.44;4.95;-0.23;-23;0;15.44
02/01/2023;0:01:02;5.44;4.94;-0.23;-23;0;15.44
02/01/2023;0:01:07;5.44;4.95;-0.24;-24;0;15.44
02/01/2023;0:01:12;5.44;4.95;-0.22;-22;0;15.44
02/01/2023;0:01:17;5.44;4.95;-0.21;-21;0;15.44
02/01/2023;0:01:22;5.44;4.95;-0.21;-21;0;15.44
02/01/2023;0:01:27;5.44;4.93;-0.2;-20;0;15.44
02/01/2023;0:01:32;5.44;4.93;-0.2;-20;0;15.44
02/01/2023;0:01:37;5.44;4.94;-0.22;-22;0;15.44
02/01/2023;0:01:42;5.44;4.95;-0.21;-21;0;15.44
02/01/2023;0:01:47;5.44;4.96;-0.21;-21;0;15.44
02/01/2023;0:01:52;5.44;4.95;-0.24;-24;0;15.44
02/01/2023;0:01:57;5.44;4.96;-0.23;-23;0;15.44
02/01/2023;0:02:02;5.6;4.97;-0.21;-21;0;15.6
02/01/2023;0:02:07;5.76;4.96;-0.21;-21;0;15.76
02/01/2023;0:02:12;5.68;4.97;-0.23;-23;0;15.68
02/01/2023;0:02:17;5.6;4.97;-0.24;-24;0;15.6
